AGE;MONTH;SEX;HEADLEN;HEADWDTH;NECK;LENGTH;CHEST;WEIGHT
19;7;1;11;55;16;53;26;80
55;7;1;165;9;28;675;45;344
81;9;1;155;8;31;72;54;416
115;7;1;17;10;315;72;49;348
104;8;0;155;65;22;62;35;166
100;4;0;13;7;21;70;41;220
56;7;1;15;75;265;735;41;262
51;4;1;135;8;27;685;49;360
57;9;0;135;7;20;64;38;204
53;5;0;125;6;18;58;31;144
68;8;1;16;9;29;73;44;332
8;8;1;9;45;13;37;19;34
44;8;0;125;45;105;63;32;140
32;8;1;14;5;215;67;37;180
20;8;0;115;5;175;52;29;105
32;8;1;13;8;215;59;33;166
45;9;1;135;7;24;64;39;204
9;9;0;9;45;12;36;19;26
21;9;1;13;6;19;59;30;120
177;9;1;16;95;30;72;48;436
57;9;0;125;5;19;575;32;125
81;9;0;13;5;20;61;33;132
21;9;1;13;5;17;54;28;90
9;9;1;10;4;13;40;23;40
45;9;1;16;6;24;63;42;220
9;9;1;10;4;135;43;23;46
33;9;1;135;6;22;665;34;154
57;9;0;13;55;175;605;31;116
45;9;0;13;65;21;60;345;182
21;9;1;145;55;20;61;34;150
10;10;1;95;45;16;40;26;65
82;10;0;135;65;28;64;48;356
70;10;0;145;65;26;65;48;316
10;10;1;11;5;17;49;29;94
10;10;1;115;5;17;47;295;86
34;10;1;13;7;21;59;35;150
34;10;1;165;65;27;72;445;270
34;10;1;14;55;24;65;39;202
58;10;0;135;65;215;63;40;202
58;10;1;155;7;28;705;50;365
11;11;1;115;6;165;48;31;79
23;11;1;12;65;19;50;38;148
70;10;1;155;7;28;765;55;446
11;11;0;9;5;15;46;27;62
83;11;0;145;7;23;615;44;236
35;11;1;135;85;23;635;44;212
16;4;1;10;4;155;48;26;60
16;4;1;10;5;15;41;26;64
17;5;1;115;5;17;53;305;114
17;5;0;115;5;15;525;28;76
17;5;0;11;45;13;46;23;48
8;8;0;10;45;10;435;24;29
83;11;1;155;8;305;75;54;514
18;6;1;125;85;18;573;328;140
