GG;GM;Nota
A;I;4.5
A;I;1.3
A;I;5
A;I;4.7
A;I;5
A;I;4
A;I;3.5
A;I;4.3
A;I;4.2
A;I;3.5
A;I;2.5
A;I;5
A;I;3
A;I;5.3
A;I;7
A;I;5.5
A;I;5
A;I;7.5
A;I;1.3
A;I;8
A;I;0.7
A;I;7.5
A;I;7.5
A;II;7
A;II;3
A;II;3
A;II;3
A;II;2.7
A;II;5
A;II;3
A;II;8.5
A;II;5
A;II;7
A;II;1.8
A;II;8
A;II;5
A;II;3.3
A;II;8.5
A;II;8.5
A;II;9
A;II;6
A;II;0.7
B;III;5
B;III;6.5
B;III;5
B;III;7
B;III;8
B;III;6.5
B;III;2
B;III;5.5
B;III;6
B;III;4
B;III;7
B;III;6.5
B;III;7
B;III;7.5
B;III;10
B;III;3.5
B;IV;3.1
B;IV;2
B;IV;5
B;IV;8
B;IV;5.5
B;IV;0.5
B;IV;6.5
B;IV;5
B;IV;2.5
B;IV;3
B;IV;6
B;IV;2
B;IV;3.5
B;IV;0.5
B;IV;5
B;IV;6.5
B;IV;5.5
B;IV;8
B;V;6
B;V;7.5
B;V;7.7
B;V;2
B;V;7.5
B;V;2.5
B;V;6.5
B;V;4
B;V;3.3
B;V;8
B;V;9
B;V;7
B;V;7
B;V;7.5
B;V;6.3
B;V;9
B;V;6.7
B;V;2
B;V;7.5
