"","AGE","MONTH","SEX","HEADLEN","HEADWDTH","NECK","LENGTH","CHEST","WEIGHT"
"1",19,7,1,11,5.5,16,53,26,80
"2",55,7,1,16.5,9,28,67.5,45,344
"3",81,9,1,15.5,8,31,72,54,416
"4",115,7,1,17,10,31.5,72,49,348
"5",104,8,0,15.5,6.5,22,62,35,166
"6",100,4,0,13,7,21,70,41,220
"7",56,7,1,15,7.5,26.5,73.5,41,262
"8",51,4,1,13.5,8,27,68.5,49,360
"9",57,9,0,13.5,7,20,64,38,204
"10",53,5,0,12.5,6,18,58,31,144
"11",68,8,1,16,9,29,73,44,332
"12",8,8,1,9,4.5,13,37,19,34
"13",44,8,0,12.5,4.5,10.5,63,32,140
"14",32,8,1,14,5,21.5,67,37,180
"15",20,8,0,11.5,5,17.5,52,29,105
"16",32,8,1,13,8,21.5,59,33,166
"17",45,9,1,13.5,7,24,64,39,204
"18",9,9,0,9,4.5,12,36,19,26
"19",21,9,1,13,6,19,59,30,120
"20",177,9,1,16,9.5,30,72,48,436
"21",57,9,0,12.5,5,19,57.5,32,125
"22",81,9,0,13,5,20,61,33,132
"23",21,9,1,13,5,17,54,28,90
"24",9,9,1,10,4,13,40,23,40
"25",45,9,1,16,6,24,63,42,220
"26",9,9,1,10,4,13.5,43,23,46
"27",33,9,1,13.5,6,22,66.5,34,154
"28",57,9,0,13,5.5,17.5,60.5,31,116
"29",45,9,0,13,6.5,21,60,34.5,182
"30",21,9,1,14.5,5.5,20,61,34,150
"31",10,10,1,9.5,4.5,16,40,26,65
"32",82,10,0,13.5,6.5,28,64,48,356
"33",70,10,0,14.5,6.5,26,65,48,316
"34",10,10,1,11,5,17,49,29,94
"35",10,10,1,11.5,5,17,47,29.5,86
"36",34,10,1,13,7,21,59,35,150
"37",34,10,1,16.5,6.5,27,72,44.5,270
"38",34,10,1,14,5.5,24,65,39,202
"39",58,10,0,13.5,6.5,21.5,63,40,202
"40",58,10,1,15.5,7,28,70.5,50,365
"41",11,11,1,11.5,6,16.5,48,31,79
"42",23,11,1,12,6.5,19,50,38,148
"43",70,10,1,15.5,7,28,76.5,55,446
"44",11,11,0,9,5,15,46,27,62
"45",83,11,0,14.5,7,23,61.5,44,236
"46",35,11,1,13.5,8.5,23,63.5,44,212
"47",16,4,1,10,4,15.5,48,26,60
"48",16,4,1,10,5,15,41,26,64
"49",17,5,1,11.5,5,17,53,30.5,114
"50",17,5,0,11.5,5,15,52.5,28,76
"51",17,5,0,11,4.5,13,46,23,48
"52",8,8,0,10,4.5,10,43.5,24,29
"53",83,11,1,15.5,8,30.5,75,54,514
"54",18,6,1,12.5,8.5,18,57.3,32.8,140
