species_id;sex;hindfoot_length;weight
DM;M;35;40
DM;M;37;48
DM;F;34;29
DM;F;35;46
DM;M;35;36
DO;F;32;52
PF;M;15;8
OX;F;21;22
DM;F;36;35
PF;M;12;7
DM;F;32;22
PF;M;16;9
DM;F;34;42
PF;F;14;8
DM;F;35;41
DM;F;37;37
DM;F;35;43
DM;F;35;41
DM;F;33;40
PF;F;11;9
DM;F;35;45
PP;F;20;15
DM;M;35;29
DM;M;35;39
DM;F;36;43
DM;M;38;46
DM;M;36;41
DM;M;36;41
DM;M;38;40
DM;M;37;45
DM;F;35;46
DM;F;35;40
DM;F;35;30
DM;M;35;39
DM;M;35;34
DM;F;37;42
DM;M;37;42
PF;F;13;8
DM;F;37;31
DM;F;36;40
DM;M;36;37
DM;M;36;48
DM;M;37;42
DM;F;39;45
PP;F;21;16
DM;F;36;36
DM;M;36;42
DM;M;36;44
DM;F;36;41
DM;F;36;40
DM;M;37;34
DM;M;33;40
DM;M;33;44
DM;M;37;44
DM;M;34;36
DM;M;35;33
DM;F;37;46
DM;F;34;35
DM;M;36;46
DM;F;33;37
DM;M;36;34
DM;F;36;45
PF;F;15;7
DM;M;37;51
DM;M;35;39
DM;M;36;29
DM;F;32;48
DM;M;38;46
DM;F;37;41
DM;M;37;45
DM;F;35;42
DM;F;36;53
DM;F;35;49
DM;F;36;46
PF;F;13;9
PP;F;19;15
PF;M;13;4
DM;M;36;48
DM;M;37;51
DM;M;38;50
DM;M;35;44
DM;M;25;44
DM;M;35;45
DM;F;37;45
PE;M;20;19
OX;M;19;22
DM;F;38;44
DM;F;36;42
DM;M;37;39
DM;M;37;47
DM;M;36;42
DM;M;36;49
DM;M;38;39
DM;F;36;43
DM;M;35;50
DM;M;36;41
DM;M;37;47
DM;F;36;37
DM;M;36;41
DM;F;36;36
DM;M;36;45
PE;M;19;20
DM;M;37;40
DM;M;38;49
DM;F;36;55
DM;M;37;46
DM;F;36;38
DM;M;37;44
OL;F;20;21
DM;M;37;41
DM;M;37;46
DM;M;34;36
DM;M;37;44
DM;M;36;53
DM;M;38;41
DM;M;37;48
DM;M;38;47
DO;F;36;33
DM;F;36;42
DO;F;37;50
DM;M;36;41
DM;M;36;49
DM;F;36;44
DM;M;36;31
DM;M;37;40
DM;F;35;40
DM;M;33;23
DM;M;36;42
RM;M;18;13
DM;F;36;42
DM;M;35;31
DM;M;36;39
DM;M;37;48
DO;F;32;48
DM;M;33;29
DM;M;36;45
DM;F;35;39
DO;F;33;31
DM;M;37;43
PF;M;16;8
DM;F;37;45
DM;M;36;40
DO;F;35;41
DM;M;37;41
DM;F;36;39
DM;M;34;25
DM;F;34;45
DM;F;37;36
DM;F;38;40
DM;M;36;44
DM;M;37;47
DM;M;36;40
DM;M;38;44
DO;F;32;44
DS;F;50;117
PF;F;16;7
DM;M;36;40
DM;F;35;39
DM;F;36;40
DS;F;51;121
DM;M;37;46
DM;F;38;35
DS;M;51;115
PF;F;16;7
DM;F;36;39
DM;M;35;40
DM;M;36;40
DM;F;36;35
DM;M;34;36
DM;M;37;44
PF;F;15;6
PF;F;15;7
DS;F;48;120
DO;M;33;48
DM;M;36;44
DM;F;33;38
DS;F;48;118
DM;M;37;40
DS;F;52;126
DM;M;36;37
DS;M;50;132
DM;F;36;39
PF;M;15;7
DS;F;53;122
DS;F;48;107
DM;M;36;43
DM;F;36;40
RM;F;16;7
DS;F;50;115
DM;F;36;39
DM;M;37;40
DS;F;50;116
PF;F;9;6
DM;F;36;38
DS;M;53;137
DM;M;36;42
DS;M;52;126
DS;F;49;112
DO;F;34;39
DM;F;36;41
DM;F;38;48
DS;F;51;121
DM;F;37;42
DM;M;36;42
DM;M;37;52
DM;F;36;38
DM;M;36;45
DM;F;37;37
DO;F;33;40
PF;F;15;7
DM;M;38;44
PF;F;16;7
DM;F;37;33
DM;F;37;38
DM;M;36;47
DM;F;36;39
PF;F;16;7
DM;M;35;42
DM;M;38;36
DM;M;37;44
DS;M;51;116
DM;M;35;43
DO;M;33;45
DS;F;51;116
DM;M;36;42
DM;F;36;38
DM;M;36;41
DM;M;36;40
DS;M;49;134
DS;M;49;139
DS;F;51;118
DO;F;32;41
DM;M;35;37
PF;M;15;6
DS;F;49;127
PF;F;15;6
DS;F;47;115
DM;F;36;40
DS;F;47;114
DM;F;35;37
DM;M;37;46
DS;M;49;149
DM;F;37;38
DS;M;52;127
DM;F;38;36
DM;M;37;41
DM;M;37;44
DS;M;48;138
DS;M;49;110
DS;F;49;110
DM;F;36;37
PF;M;16;7
DS;F;51;121
DM;F;36;43
DM;M;36;43
DM;M;35;44
DM;F;36;36
PF;F;16;8
DM;M;36;38
DS;F;48;122
PF;M;16;7
DM;M;38;46
PE;M;26;22
DM;M;36;38
DM;M;38;48
PF;M;15;7
DM;M;36;43
DM;F;37;35
DM;M;36;43
DM;M;34;36
DS;F;51;117
DM;F;37;37
DS;M;51;122
DM;M;36;43
DM;M;37;42
DM;M;36;40
DM;F;34;37
DS;F;47;117
DM;M;36;40
DM;M;36;40
DS;M;49;132
DM;F;38;36
DS;M;53;150
DM;M;38;44
DM;F;36;40
DS;F;50;126
DS;F;51;122
DS;F;50;136
DS;F;48;116
DM;F;36;38
DM;F;37;39
DS;F;49;135
DM;M;36;46
DS;M;50;133
DS;M;53;136
DS;F;51;141
DM;F;36;38
DM;F;36;35
DM;M;38;51
DM;F;34;33
DM;M;38;47
DM;M;36;49
DS;M;53;157
DM;M;35;51
DM;F;39;38
PF;F;16;7
DM;M;39;45
DM;M;38;52
DM;M;38;50
DM;M;37;51
DM;F;33;39
OT;F;15;23
DM;F;37;40
DM;M;36;41
DM;M;37;46
PE;M;22;25
DM;F;36;39
DM;F;34;42
DM;M;37;39
OT;F;20;23
DS;F;49;124
DS;F;49;114
DM;M;36;44
DM;M;38;48
DM;F;39;44
DS;F;49;132
DS;F;46;137
DM;M;35;39
DM;F;35;56
OL;F;20;35
OT;F;18;22
OT;M;20;25
DS;M;55;154
DM;M;38;49
DM;F;36;44
DM;F;38;35
DM;F;37;36
DM;F;35;39
DS;F;50;133
DM;M;38;50
DM;M;36;43
DM;F;35;40
DM;M;38;45
DM;M;38;44
NL;M;32;228
DS;F;52;144
DM;F;37;46
DM;M;35;48
PF;F;15;7
DM;M;38;45
PF;M;14;8
DS;F;47;133
DM;F;37;40
NL;M;32;232
DS;F;49;128
DS;M;54;153
